# extension	group
ascx	template
asp	template
aspx	template
bash	terminal
bib	document
c++	cpp
c	c
cc	cpp
cfg	settings
cjs	javascript
cls	document
code-workspace	settings
coffee	coffeescript
config	settings
cpp	cpp
cs	csharp
cshtml	template
csproj	csproj
css	css
csv	storage
csx	csharp
ctp	template
cxx	cpp
dart	dart
diff	diff
dtd	document
erb	template
eyaml	yaml
eyml	yaml
fs	fsharp
fsi	fsharp
fsscript	fsharp
fsx	fsharp
gemspec	ruby
go	go
h	c
handlebars	template
hbs	template
h++	cpp
hh	cpp
hpp	cpp
htm	html
html	html
hxx	cpp
ini	settings
ipynb	ipynb
jade	template
jav	java
java	java
js	javascript
jsx	react
jshtm	html
json	json
jsp	template
less	css
log	log
lua	lua
markdown	markdown
md	markdown
mdoc	markdown
mdown	markdown
mdtext	markdown
mdtxt	markdown
mdwn	markdown
mk	code
mkd	markdown
mkdn	markdown
ml	ocaml
mli	ocaml
mjs	javascript
php	php
phtml	php
plist	settings
pod	document
pp	puppet
properties	settings
ps1	terminal
psd1	settings
psm1	terminal
py	python
pyi	python
r	r
rb	ruby
rs	rust
rst	document
sass	sass
scss	sass
sh	terminal
shtml	template
sql	storage
svg	image
tex	document
ts	typescript
toml	toml
tsx	react
txt	document
vue	vue
xaml	template
xhtml	html
xml	document
yaml	yaml
yml	yaml
zsh	terminal
